FarmNm_CH,FarmNm_EN,County,Township,Address_CH,Longitude,Latitude,WebURL,NearestStopName,NearestStopDistanceMeters,Routes
癩蛤蟆休閒農場,,10005,三義鄉,龍騰村外庄66號,120.782908,24.359041,https://photo.xuite.net/lhm566759,,,
富裕休閒農場,,10005,頭份市,上興里13鄰水源路464號,120.917758,24.665947,,,,
雙連埤休閒農場,,10002,員山鄉,西湖村雙埤路30之3號,121.640365,24.750222,,,,
白鶴咖啡休閒農場,,10013,萬巒鄉,新置村新光路9號,120.610034,22.532402,,,,
大雁休閒農場,,10008,魚池鄉,大雁巷36-1號,120.920935,23.923551,,,,
雲霧嶺茶柚休閒農場,,10005,三灣鄉,永和村7鄰明坑13-9號,120.924522,24.637164,,,,
第一景休閒農場,,64000,田寮區,大崗山段 388、389、390、391 地號,121.519872,25.031530,,,,
豐甜休閒農場,,66000,東勢區,石圍牆段石圍牆小段1143-2地號,120.774836,24.294689,,,,
愛鄉休閒農場,,10008,中寮鄉,永平村愛鄉巷39-6號,120.762616,23.876007,,,,
嵙角休閒農場,,10009,古坑鄉,華山村華山65號,120.593834,23.593349,,,,
嵐湖休閒農場,,10005,大湖鄉,新開村7鄰雙坑27-1號,120.841702,24.360272,,,,
吉平休閒農場,,10005,苑裡鎮,蕉埔里4鄰蕉埔45之1號,120.735021,24.405753,,,,
古月螢休閒農場,,10005,三灣鄉,永和村8鄰北坑12-1號,120.924283,24.637463,,,,
初色休閒農場,,10005,苑裡鎮,蕉埔里5鄰蕉埔52-3號,120.679955,24.421776,,,,
清硯休閒農場,,10005,大湖鄉,東興村下湖 50 號,120.881453,24.377512,,,,
大湖雅境休閒農場,,10005,頭份市,中正路364號,120.914709,24.687975,,,,
自家烘焙咖啡休閒農場,,10005,通霄鎮,福興里9鄰福興101之11號,120.743051,24.422300,,,,
龍煙谷山一方休閒農場,,10002,員山鄉,中華村6鄰龍賢路9號,121.668552,24.749871,,,,
東昇休閒農場(停業中),,66000,東勢區,東蘭路101號,120.824075,24.263758,,,,
月亮休閒農場(停業中),,66000,東勢區,東勢段石角小段1981-25、1981-26地號等二筆,120.815766,24.304744,https://www.flowerhome.com.tw/,,,
金喜休閒農場,,10007,二林鎮,北平里新生路569巷48弄107號,120.368958,23.914244,,,,
富盛休閒農場(甲鳥園),,10002,礁溪鄉,吳沙村開蘭路209號,121.74985,24.791094,,,,
好春好然休閒農場,,10002,員山鄉,惠好村15鄰深洲二路22號,121.737485,24.723289,https://goodspring.strikingly.com/,,,
禾豐休閒農場,,10004,關西鎮,東平里15鄰63-9號,121.162248,24.824249,,,,
水里生態休閒農場,,10008,水里鄉,玉峰村永樂巷89-5號,120.821643,23.803761,,,,
悅音阿甲休閒農場,,10004,橫山鄉,豐鄉村9鄰大山背110-6號,121.146326,24.689136,,,,
昇泰有機休閒農場,,64000,田寮區,新興村崗南路4-1號,120.355491,22.850085,,,,
育樺園休閒農場,,10002,員山鄉,逸仙村大湖山一路11號,121.694505,24.732644,,,,
金生休閒農場,,10005,頭份市,自強里10鄰中正路191號,120.910622,24.687546,,,,
苗栗縣三義鄉金達摩休閒農場,,10005,三義鄉,西湖村1鄰西湖28-6號,120.759816,24.392369,,,,
太陽好事休閒農場,,10013,潮州鎮,潮州路760號,120.555661,22.547169,,,,
萬屋休閒農場,,10013,內埔鄉,大發路265號,120.623132,22.688429,,,,
成台休閒農場,,65000,五股區,福德里19鄰工九路33之100號,121.405806,25.076353,,,,
原豐休閒農場,,65000,淡水區,忠寮里演戲埔腳12號,121.470916,25.196262,,,,
虎頭山休閒農場,,68000,桃園區,成功路三段821巷66號,121.327195,25.016734,,虎頭山環保公園,577,213
墾丁親子休閒農場(墾丁聽幸福親子民宿),,10013,恆春鎮,槺林南路135巷128號,120.730667,21.990040,,,,
松山鄉村健康生活休閒農場,,10010,民雄鄉,松山村松山村松子腳48-15號,120.474349,23.546536,,,,
長頸鹿休閒農場,,10007,埔鹽鄉,西湖村新生路建471號,120.449960,24.001080,,,,
星月秘境休閒農場,,10008,竹山鎮,中山路888號,120.705206,23.738118,,,,
鹿境休閒農場,,10013,恆春鎮,恆公路1097-1號,120.741677,22.012451,,,,
四重溪綠境休閒農場(停業中),,10013,車城鄉,四重溪段,120.747660,22.093258,,,,
上高地休閒農場,,10008,埔里鎮,小埔社段,120.952438,24.025375,,,,
烘爐地休閒農場,,65000,中和區,興南路二段399巷140之1號南山觀音寺牌樓對面,121.499313,24.973936,,,,
電光米棧休閒農場,,10014,關山鎮,電光里13鄰南興26號,121.183983,22.990193,,,,
內灣休閒農場,,10005,三灣鄉,內灣村1鄰二灣7號,120.960095,24.665972,,,,
關山鎮農會休閒農場,,10014,關山鎮,豐泉里8鄰昌林25之3號,121.16709,23.06235,,,,
宜蘭濱海休閒農場,,10002,壯圍鄉,新社村壯濱路五段296號,0,0,,,,
江陵日觀休閒農場,,68000,楊梅區,西高山頂15-2號,121.135136,24.929968,https://lihi1.cc/DP9ei,童話森林社區,544,L613
茶花湘休閒農場,,10013,內埔鄉,富田村里和路103號,120.553425,22.612597,,,,
彌陀海岸休閒農場,,64000,彌陀區,新庄路1之268號,120.245064,22.754308,,,,
圓康休閒農場,,68000,龍潭區,大平里民治十六街87巷49弄71號,0,0,https://ezgo.ardswc.gov.tw/zh-TW/Front/Agri/Detail/140,蚵間里福興宮,13102242,5031A; L602; L602A; L603; L603A; L617
三灣四季休閒農場,,10005,三灣鄉,永和村1鄰楠樹窩16號,120.943253,24.635737,,,,
寓林休閒農場,,66000,和平區,南勢段,120.888074,24.175387,,,,
九九莊園休閒農場,,10009,斗六市,十三南路65-1號,120.565462,23.743235,,,,
貓頭鷹生態休閒農場,,10005,獅潭鄉,永興村11鄰14-6號,120.926857,24.551442,https://www.dahu.com.tw/kukulu/index.html,,,
湧旺羊媽媽休閒農場(停業中),,66000,霧峰區,育德路91巷18號,120.699298,24.048953,https://www.goatmilk.com.tw/index.asp,,,
維多利亞休閒農場,,68000,桃園區,民族路669號,121.233664,24.829964,,里界,113,5049
小份尾幸福田休閒農場EUDEMON ROSE GARDEN,,64000,杉林區,司馬路202之6號,120.570381,22.995612,,,,
夢土上休閒農場,,10002,礁溪鄉,二結路8-2號,121.681931,24.784752,http://www.yilan-villa.com.tw/WebMaster/,,,
淞濤田園休閒農場,,10004,寶山鄉,寶山村9鄰通學路215巷5號,121.020513,24.736978,,,,
雅潭休閒農場,,66000,大雅區,雅潭路三段527號,120.67046,24.215154,,,,
養鹿天地休閒農場,,10008,國姓鄉,北山村中正路四段105號,120.884576,23.984316,,,,
三好休閒農場(三好竹木業),,10005,頭份市,珊湖里4鄰中正三路329號,120.962159,24.684212,,,,
彰化休閒農場(溪州公園),,10007,溪州鄉,溪州村中央路三段138號,120.496348,23.842461,https://goo.gl/5dMjRS,,,
九斗休閒農場,,68000,新屋區,九斗里五谷路205號,121.128945,24.960752,https://www.farm99.com.tw/index.html,九斗合作農場,21,T602
快樂谷休閒農場,,10008,南投市,福山里8鄰八卦路592巷27號,120.635082,23.909939,,,,
謝記休閒農場,,10002,五結鄉,協和村公園路88號,121.813665,24.678266,https://duckfarm.tw/index.php,,,
春霖休閒農場,,10010,中埔鄉,同仁村11鄰同仁163之16號,120.511109,23.407450,,,,
金門縣農業試驗所附屬休閒農場,,09020,金湖鎮,后壟31號,118.328564,24.348779,https://ari.kinmen.gov.tw/,,,
山裡生活自然休閒農場,,68000,復興區,大窩路601號,121.358972,24.838796,,蝙蝠洞,972,5107; 5107A; 5107B; 5107C
老大份休閒農場,,10004,橫山鄉,豐鄉村大山背6鄰69號,121.133387,24.687927,https://www.fbilab.org/oldman/,,,
巴登大莊園休閒農場,,10009,古坑鄉,水碓段,120.595164,23.646116,,,,
苗5線休閒農場,,10005,頭份市,文化里3鄰文化街125號,120.898964,24.698444,,,,
蘆菴休閒農場,,68000,龍潭區,上華里2鄰大順路369號,121.220815,24.853516,https://luan369.com.tw/,雙連街口,72,5044; 5048; 5049; 5051; 5055
美柏休閒農場,,10007,二林鎮,興華里7鄰東川路2-1號,120.402519,23.892173,,,,
慈恩休閒農場,,10007,二林鎮,華崙里光復路61巷41號,120.442922,23.950704,https://reurl.cc/qd6x7n,,,
蜻蜓谷休閒農場,,66000,東勢區,東坑路西盛巷60號,120.847034,24.234071,,,,
鯨魚園休閒農場(停業中),,10013,枋山鄉,善餘村竹坑30之1號,120.698676,22.157678,,,,
柏冷翠休閒農場,,66000,和平區,東關路二段11之8號,120.930113,24.176326,,,,
松圃休閒農場,,10015,新城鄉,新秀村樹林街148號,121.598167,24.043890,,,,
星錡休閒農場,,10007,永靖鄉,同仁村東畔路建238之46號,120.534639,23.929846,,,,
凡梨花休閒農場,,10002,三星鄉,大隱村大隱中路19號,121.728728,24.667138,,,,
如豐休閒農場,,10015,壽豐鄉,豐山村中山路405號,121.501150,23.856404,http://www.taiwanjade.com.tw/farm/index.html,,,
兒時記憶休閒農場,,10005,通霄鎮,烏眉里5鄰57-8號,120.710365,24.570673,,,,
金橘伴月休閒農場,,10010,番路鄉,下坑村菜公店4之6號,120.553489,23.464675,,,,
雲林綠色隧道休閒農場,,10009,古坑鄉,湳仔村湳仔48號,120.5453,23.65067,,,,
日暉休閒農場,,10014,長濱鄉,長濱村28鄰城子埔5-21號,121.462209,23.335376,,,,
上竹林休閒農場,,65000,五股區,中直路崩山巷5之6號,121.421808,25.118217,,,,
大崗山生態休閒農場,,64000,阿蓮區,,120.348787,22.867872,,,,
佳崙休閒農場,,10014,太麻里鄉,大王村15鄰佳崙75號旁,120.971183,22.635087,,,,
函園休閒農場,,10015,吉安鄉,稻香村吉豐路二段199號,121.576231,23.962881,,,,
永旺休閒農場,,10005,頭份市,上興里13鄰水源路486號,120.918289,24.665060,,,,
地球村休閒農場,,10008,國姓鄉,北港村13鄰長北路128號,120.879779,24.051990,,,,
天空小品休閒農場,,65000,淡水區,竹圍子8-10號,121.478035,25.193029,https://www.theskyland.vip/,,,
金山中角農莊休閒農場,,65000,金山區,西湖里尖山子11-12號,121.614048,25.250533,,,,
惠森自然休閒農場,,10004,北埔鄉,南坑村4鄰30號,121.046419,24.660044,https://www.wishsun.com.tw/,,,
天野青草藥園休閒農場(天野養生餐廳),,10008,竹山鎮,延正里1鄰集山路二段591-2號,120.712109,23.786464,https://www.tienyeh.com.tw/index-2.html,,,
南投休閒農場,,10008,南投市,大庄路151巷188號,120.676135,23.895088,https://www.ntf.tw/,,,
慈音山莊休閒農場,,63000,文山區,老泉街26巷11-2號,121.566256,24.966229,https://www.ciyin29375256.com/,慈音山莊,71,小11
綠朵休閒農場,,66000,龍井區,台灣大道六段85號,0,0,http://www.greendoor.com.tw/,,,
鄉村休閒農場,,63000,內湖區,大湖街206號,121.609038,25.103160,,大邱田,276,小3
水岸森林休閒農場,,10002,冬山鄉,柯林村柯林新路90號,121.731884,24.683784,https://www.river-forest.com.tw/,,,
山水居休閒農場,,10005,大湖鄉,栗林村內雙坑13鄰5-3號,120.832068,24.378284,,,,
鹽讚休閒農場,,10009,林內鄉,烏塗村鹽讚42號之6號,120.588491,23.764255,,,,
見望村親子休閒農場,,10002,大同鄉,寒溪村華興巷48之1號,121.674025,24.636644,,,,
稻庄休閒農場,,10002,三星鄉,人和村福和路71巷16號,121.631162,24.673867,,,,
小木屋休閒農場,,68000,蘆竹區,坑子村貓尾崎12鄰1-6號,121.344692,25.081659,https://ezgo.ardswc.gov.tw/zh-TW/Front/Agri/Detail/1365,愛民,608,5071; 5071B
翩翩泰安休閒農場,,10005,泰安鄉,錦水村圓墩86之6號,120.93575,24.47009,https://www.ppta.com.tw/,,,
張媽媽休閒農場(停業中),,64000,大樹區,興田路116-1號,120.448126,22.747174,https://www.mama-chang.com/,,,
想想山休閒農場,,10004,新埔鎮,北平里10鄰大平窩89之7號,121.085086,24.847149,,,,
沐涵軒休閒農場,,10013,高樹鄉,舊寮村10鄰萬興路39號,120.631072,22.848369,,,,
詹園品田生態休閒農場,,10008,鹿谷鄉,瑞田村仁愛路23-8號,120.810213,23.811251,,,,
苗栗縣三義鄉新光樂活休閒農場,,10005,三義鄉,西湖村八櫃8-8號,120.769916,24.376398,,,,
星星休閒農場(停業中),,66000,東勢區,東勢段石角小段1981、1981-24地號等二筆,120.756966,24.242220,,,,
悠然休閒農場,,10005,大湖鄉,栗林村6鄰四份17-2號,120.849760,24.380795,,,,
森十八休閒農場,,10008,名間鄉,田仔村田仔巷16-8號,120.675194,23.864652,,,,
大頭目知本溫泉休閒農場,,10014,卑南鄉,溫泉村32鄰樂山169號,121.018366,22.683817,,,,
杏花林休閒農場,,63000,文山區,老泉街45巷30號,121.576574,24.968980,,杏花林(老泉里),25,貓空右線
豚之林休閒農場,,10013,南州鄉,壽元村大同路69-180號,120.542014,22.484228,,,,
大吾疆莊園休閒農場(皇家薇庭),,68000,桃園區,莊敬路二段369號,121.287625,25.018807,,銀店埤,158,L111
小人國休閒農場(ARCADIA覓秘午憩),,68000,龍潭區,高原路980號,121.192854,24.829677,,高原,55,5653
葵扇湖休閒農場,,65000,金山區,兩湖里2鄰葵扇湖18號之6,121.590049,25.229362,https://www.lakesunflower.com.tw/,,,
路易十四莊園休閒農場,,10014,池上鄉,新興村東欣路268巷1號,0,0,,,,
康田休閒農場,,68000,大溪區,瑞源里落羽松路100號,121.256832,24.870738,,配銷所,203,5044; 5050; 5056; 725
文良休閒農場,,10017,七堵區,大同街60之1號,121.681137,25.139923,,,,
山上種樹牛樟森林休閒農場,,10005,大湖鄉,義合村南昌路41號,120.878513,24.397270,https://grow-tree.com/,,,
中崙漁業休閒農場,,10002,頭城鎮,三和路643巷46號,121.803854,24.827930,,,,
泉園休閒農場,,68000,蘆竹區,坑口里小古山路183號,121.284728,25.108567,,出水坑,923,5020
好農村休閒農場,,10005,大湖鄉,栗林村薑麻園10號,120.829257,24.386302,,,,
七口灶休閒農場,,10008,草屯鎮,坪頂里股坑巷13之88號,120.733416,23.955249,,,,
石門客棧休閒農場,,10005,大湖鄉,栗林村竹橋20號,120.844888,24.363310,,,,
陽明休閒農場,,65000,金山區,重和里13鄰磺溪頭16之2號,0,0,,,,
東風有機休閒農場(東風綠活 Oriental Green),,10002,冬山鄉,中山村中山路769號,121.730440,24.618304,https://orientalgreenofficial.com/,,,
石門森林休閒農場,,68000,大溪區,三層段阿姆坪小段,121.309036,24.816451,,阿姆坪碼頭,66,5099; 5099A
貝林古堡休閒農場,,10007,埤頭鄉,斗苑東路1之68號,120.501051,23.878225,,,,
比來特區生態休閒農場,,10004,五峰鄉,花園村比來69-18號,121.125165,24.681084,,,,
二崎生態休閒農場,,63000,北投區,大屯里復興三路355巷39號,121.498798,25.154717,,大彎,208,小6
巧克力雲莊休閒農場,,10005,大湖鄉,富興村水尾坪49-2號,120.877111,24.448558,,,,
鳳梨屋休閒農場,,10002,員山鄉,中華村15鄰長嶺路195號,121.608213,24.701593,https://lin.ee/G7Z8W6T,,,
耕堡休閒農場(停業中),,10002,三星鄉,三星路八段238巷長埤68號,121.607980,24.642388,,,,
侑橘休閒農場,,10005,三灣鄉,永和村8鄰北坑12-1號,120.935569,24.649474,,,,
青青休閒農場(蘭陽青青馬場),,10002,三星鄉,尚貴路二段25號,121.68683,24.68835,,,,
興民休閒農場,,10005,通霄鎮,福興里3鄰29之6號,120.743705,24.426774,,,,
仁安居生態休閒農場,,10004,關西鎮,中豐路二段322巷3號,121.185761,24.802421,,,,
碧海星辰休閒農場,,10014,臺東市,松江路二段808號富岡里,121.189649,22.818667,,,,
大山背休閒農場,,10004,橫山鄉,豐鄉村大山背5 鄰 52 號,121.144777,24.695594,,,,
上庄休閒農場,,10013,高樹鄉,高樹村4鄰豐源路7號,120.606430,22.824981,,,,
永和山古厝休閒農場,,10005,三灣鄉,永和村9鄰20-1號,120.924522,24.637164,,,,
永齡有機休閒農場(永齡農場),,64000,杉林區,上平里山仙路288號,120.542815,22.977307,https://www.yonglinfarm.com.tw/,,,
柏泰園休閒農場,,63000,北投區,立賢路 77 號,121.500990,25.114661,https://goo.gl/GTJMxS,北投垃圾焚化廠,145,550
亮山川休閒農場(亮山川景觀休閒園區),,65000,萬里區,內中福1之3號,121.67077,25.16502,,,,
綠世界休閒農場,,10004,北埔鄉,大湖村7鄰20號,121.071096,24.698810,https://www.green-world.com.tw,,,
海園教育休閒農場,,65000,石門區,海園路38號,121.558549,25.291073,,,,
香草星空休閒農場,,10002,五結鄉,大眾五路310號,121.821321,24.698501,https://039600123.hi-bnb.com/,,,
河堤休閒農場(河堤番茄園),,64000,美濃區,福安街15巷15之1號,120.527315,22.894995,,,,
大花玫瑰休閒農場(大花農場),Grand Blossom Recreation Rose Farm(大花玫瑰休閒農場),10013,九如鄉,九如路一段2-88號,120.491652,22.708660,https://f88.myorganic.org.tw/,,,
正統休閒農場,,10002,三星鄉,大隱村大隱8路283號,121.714036,24.664556,,,,
立川漁場休閒農場,,10015,壽豐鄉,共和村魚池45號,121.522179,23.864725,https://www.lichuan.tw/,,,
海賊庄休閒農場,,10010,新港鄉,南港村117-69號,0,0,https://www.twpvillage.com/,,,
仰山休閒農場,,10013,高樹鄉,舊寮村10鄰萬興路33號,120.629314,22.851021,,,,
大團園休閒農場,,65000,深坑區,阿柔里阿柔洋25-1號,121.612998,24.999059,,,,
幻日休閒農場,,66000,清水區,美堤街126號,120.549387,24.307815,,,,
五福畊讀休閒農場(停業中),,66000,東勢區,慶福街16號,120.855145,24.193189,http://www.softpond.com.tw/index.html,,,
大古山休閒農場,,68000,蘆竹區,大古路228號,0,0,,蚵間里福興宮,13102242,5031A; L602; L602A; L603; L603A; L617
樂農發休閒農場,,10007,埤頭鄉,崙腳村8鄰和平路350號,120.468800,23.883572,,,,
士嫻休閒農場,,10013,春日鄉,古華村古華路3巷69號,120.626764,22.359377,,,,
乾坤有機生態休閒農場,,10013,萬巒鄉,新厝村沿山路一段250巷66號,120.628416,22.559612,https://sites.google.com/site/youjiguoyuanceshi/,,,
千郁休閒農場,,68000,蘆竹區,坑子里八德二路288號,121.339338,25.069672,,茶工廠,91,5069
卑南休閒農場,,10014,臺東市,永安街180巷38弄16號,121.123541,22.783393,http://www.villegreensward.com/,,,
長屋休閒農場,,10005,通霄鎮,福興里88之8號,120.743351,24.423971,https://www.longhouse.com.tw/,,,
欣隆休閒農場,,10008,草屯鎮,南埔里青宅巷35之21號,120.735897,23.978953,https://www.senlon.com.tw/abouts.php?id=1,,,
雲科生態休閒農場,,10009,斗六市,大學路二段273巷67號,120.548424,23.697978,https://www.winfarm.com,,,
蕃婆林休閒農場,,65000,三芝區,錫板里17鄰44號,121.494370,25.237845,https://fplfarm.web.fc2.com/,,,
士文自然休閒農場,,10013,春日鄉,士文村士文路52-2號,120.651276,22.361328,https://goo.gl/hi7Lrr,,,
北關休閒農場(馥森·淨饍食養),,10002,頭城鎮,更新路203-1號,121.868334,24.912128,https://www.peikuanfarm.com.tw/,,,
兆麗休閒農場(停業中),,10010,番路鄉,9號,120.554545,23.453325,,,,
山美休閒農場,,10010,阿里山鄉,山美村1鄰山美1-3號,120.654495,23.406841,,,,
桐德休閒農場,,10013,新埤鄉,箕湖村10鄰進化路12-60號,120.614551,22.448079,,,,
陽榮休閒農場,,68000,大園區,華興路二段2號,121.198595,25.048184,,頂莊,26,5081C
水鏡農莊休閒農場,,10008,名間鄉,新街村客庄巷17-6號,120.700261,23.876109,,,,
新社蓮園休閒農場,,66000,新社區,東興里東湖街一段39號,120.819547,24.214072,,,,
新光兆豐休閒農場,Shin Kong Chao Feng Ranch & Resort(新光兆豐休閒農場),10015,鳳林鎮,永福街20號,121.463041,23.802004,https://www.skcf.com.tw/,,,
豐田休閒農場,,68000,蘆竹區,坑子里山林路三段332巷51弄22號,121.324412,25.078311,,公田,37,5071; 5071A
薰衣草森林休閒農場（薰衣草森林台中新社園區）,,66000,新社區,中興街20號,120.841330,24.128493,https://www.lavendercottage.com.tw/,,,
陳家休閒農場,,10004,新埔鎮,照門里九芎湖6鄰29號,121.105449,24.862395,,,,
清林園林休閒農場,,10002,礁溪鄉,礁溪鄉二龍村淇武蘭路111之8號,121.786709,24.812778,,,,
傳奇教育休閒農場,,10013,南州鄉,溪南村人和路1 巷266 號,120.511351,22.485229,,,,
水秀休閒農場,,10008,國姓鄉,北港村長長北路61之3號(台21線24K又300公尺處，國姓鄉段),120.895529,24.061356,,,,
葵海休閒農場,,66000,大甲區,西歧里如意路33巷50號,120.617180,24.421519,https://www.artisans.com.tw,,,
千巧谷牛樂園休閒農場,,10009,崙背鄉,東興182之32號,120.367152,23.758908,https://www.chanchauku.com/,,,
月桃香休閒農場,,10008,中寮鄉,內城村10鄰月桃巷81-1號,120.788391,23.954489,https://ezgo.ardswc.gov.tw/zh-TW/Front/Agri/Detail/2263,,,
十份崠休閒農場,,10005,銅鑼鄉,新隆村20鄰219號,120.840383,24.408144,,,,
大山休閒農場,,10007,花壇鄉,灣東村灣福路60巷13弄13號,120.587909,24.037679,,,,
沐雨鍾林生態心靈休閒農場,,10013,潮州鎮,潮義路465巷52號,120.574726,22.542991,,,,
好樂農莊休閒農場,,66000,東勢區,慶福街77之3號,120.841015,24.191967,http://happyfarm.brightideas.com.tw/?fbclid=IwY2xjawIae3RleHRuA2FlbQIxMAABHdGv5PD2i0Lfd-Zn2i5NTI8ho3Gwhbztd9t6E1J7eyWEqjNsUDLsac_O7w_aem_fFkIsvAO6m67-JrLOHn8hA,,,
日月滿休閒農場,,63000,士林區,平等里平菁街150號,121.571584,25.121713,,大坪尾,166,303
老泉養生休閒農場,,63000,文山區,老泉街26巷12號,121.568136,24.970621,,大春山莊,354,小11
金峰園藝休閒農場,,10005,卓蘭鎮,西坪里43號,120.825487,24.311304,,,,
湖櫻養生休閒農場,,10005,西湖鄉,金獅村8鄰杜石地10號,120.781291,24.55636,,,,
準休閒農場,,65000,五股區,新五路二段70號,121.437308,25.073416,https://www.wugu-farm.com.tw,,,
樺音山莊休閒農場,,68000,復興區,三民里基國派路162巷230號,121.341548,24.833305,,王厝,525,5107; 5107B; 5107C; F906
築夢山城休閒農場(尖石築夢山城),,10004,尖石鄉,義興村9鄰馬胎168號,121.176946,24.671959,,,,
農友種苗休閒農場,,64000,大樹區,竹寮路114-6號,120.425949,22.661066,https://www.knownyou.com/tw/,,,
文山休閒農場,,66000,大里區,健東路123號,120.724347,24.084441,http://www.wfarm.com.tw/?fbclid=IwY2xjawIbrw1leHRuA2FlbQIxMAABHeHgXuqwKPFGDj873qYXNKYIS8kXR50yMmmJNFz5SQW6EGvd0u-5VvjDRA_aem_JLyQA_gkP4V6I_ViaRZGig,,,
牧蜂休閒農場,,65000,三芝區,茂長里9鄰74號,121.510840,25.259339,https://www.move-bee.com,,,
中原世紀休閒農場,,10013,萬丹鄉,竹林村竹圍街160巷59號,120.510015,22.610850,,,,
藍鵲休閒農場,,10005,通霄鎮,南和里113-7號,120.721663,24.446608,https://bmr.bluemagpie.com.tw/,,,
阿里山咖啡休閒農場(鄒築園咖啡),,10010,阿里山鄉,鄒築園咖啡,120.713440,23.467946,,,,
福爾摩莎可可休閒農場,,10013,內埔鄉,東勢村38鄰大同路三段榮和巷80號,120.576813,22.650532,https://www.cacaofarm.com.tw/,,,
雙溪平林休閒農場,,65000,雙溪區,平林里外平林35號,121.841379,25.034437,,,,
慈心大自然休閒農場,,10009,古坑鄉,麻園村東耕22號,120.535523,23.640622,,,,
日月山景休閒農場,,10007,彰化市,石牌里水月台路218號,120.587002,24.056196,,,,
角宿休閒農場,,64000,燕巢區,義大路65號(南角宿段222地號),120.366855,22.765693,,,,
竹湖山居自然生態休閒農場,,10014,長濱鄉,台東縣竹湖村移民路1鄰41號,121.419611,23.302729,https://www.juhu.com.tw/,,,
好農丘休閒農場,,66000,東勢區,中嵙里東崎路三段688巷118號,120.857104,24.271217,,,,
古早雞休閒農場(古早雞傳統米食),,10007,芬園鄉,彰南路五段451巷36號,120.620892,24.036646,,,,
花自在休閒農場,,10005,卓蘭鎮,西坪里4鄰37-2號,120.888072,24.378871,,,,
平溪松苑休閒農場,,65000,平溪區,靜安路三段66號,121.764706,25.032460,,,,
金崙休閒農場,,10014,太麻里鄉,金崙村溫泉28號,120.951812,22.531485,,,,
愛蓮莊休閒農場(整修中暫不對外開放),,10007,員林市,大饒路803巷385號,120.583797,23.931757,,,,
嶺海山林休閒農場,,10004,尖石鄉,新樂村煤源10鄰145-1號,121.263421,24.706798,https://www.d-sky.com.tw/,,,
八分田休閒農場,,10002,三星鄉,楓林一路227號,121.659855,24.684135,,,,
溫馨休閒農場(溫馨農場),,10005,三義鄉,雙潭村16鄰崩山下38之10號,120.817416,24.387370,,,,
仁愛休閒農場,,10009,林內鄉,林中村仁愛路55之3號,120.607234,23.769587,,,,
麗野莊園休閒農場,,10002,宜蘭市,黎明一路88號,121.780252,24.741872,,,,
竹峰茗茶休閒農場,,68000,蘆竹區,坑子里12鄰貓尾崎1號,121.346805,25.082460,https://ezgo.ardswc.gov.tw/zh-TW/Front/Agri/Detail/2936,井仔厝,661,5069; 5071; 5071B
銘珠園休閒農場,,66000,北屯區,軍功路二段633號,0,0,,,,
金椿休閒農場(金椿茶油工坊),,10005,竹南鎮,永和村三鄰石馬店18-3號,120.928402,24.640535,,,,
楊桃園休閒農場,,10007,花壇鄉,灣東村灣福路221巷5號,120.579227,24.046427,,,,
艾米達精靈谷休閒農場,,10013,新埤鄉,箕湖村民眾路2-77號,120.595475,22.468996,,,,
桃蘆坑休閒農場,,68000,蘆竹區,山林路三段855-1號,121.332300,25.078933,,土地公口,65,5071; 5071B
