FarmNm_CH,FarmNm_EN,FarmNm_JP,Feature_CH,Feature_EN,Feature_JP,CertifySDate,CertifyEDate,TEL,FAX,PCode,County,Township,Address_CH,Address_EN,Address_JP,WebURL,Longitude,Latitude,IdentifyItem,Photo
月眉休閒農場（停業中）,,,月眉休閒農場。小橋、流水、人家。。忙碌過後的夜深人靜，輕閉雙眼，腦海時常浮現生活於田野間，與自然共處的景象。。每一個人，都在旅途中試探自己的夢想。。每一個人，都在夢想中找尋嚮往的生活。。尋尋覓覓，才發現自己嚮往的生活並不遙遠。。通過雪隧，第一眼入鏡的是三角平原上被稻田與農舍交錯的散村文化。。不同於南台灣的集村聚落，蘭陽平原水資源豐富，為了耕作方便，常將農舍立於耕地旁邊，形成大片農田間農舍林立的獨特景觀。。月眉休閒農場位於羅東、冬山、五結一鎮二鄉交界處，同時具有小鎮的便利性與農村的...,,,1150901,1150930,(03)9506736,(03)9506183,265,10002,羅東鎮,新群里富農路三段240巷33號,,,https://www.moonlife.com.tw,121.800635,24.669872,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/111/480x360_20160113122359.JPG
優生美地休閒農場,,,優生美地休閒農場。旅行的千言萬語，。只為了一個身歷其境，。為了追逐關山的金色日照，。如同夸父追日般的執著浪漫，。抬頭仰望南十字星海的神話，。邀請您，進入天地萬物的家鄉。。優生美地園區內裁培多種台灣恆春半島之原生種植物，如棋盤腳（恆春之花）象牙樹，止宮樹，毛柿，枯里珍，倒卵葉楠，檄樹，蚊母樹，台東漆，鐵色，台灣樹蘭，構樹，恆春撒揚，三星果滕，台灣海桐，石伶，高經濟植物，檀香木，花梨木&hellip；&hellip；等數十種植物。來到園內除了認識植物，欣賞植物，放鬆心情與植物共語，感恩...,,,1150901,1150930,(08)8823693,,944,10013,車城鄉,溫泉路57-26號,,,https://usmd.com.tw,120.74606,22.09075,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/235/480x360_84a2547d7b124241a1f6702016925db2.jpg
客家鄉下人休閒農場,,,,,,1150901,1150930,(037)831923,,352,10005,三灣鄉,永和村北坑8鄰22之8號,,,https://goo.gl/RS4pv6,120.924522,24.637164,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/4185/480x360_1bfeb7786d0148ba8b1e83186f2e2bed.jpg
三灣星光休閒農場,,,,,,1150901,1150930,(03)3019907,,350,10005,竹南鎮,,,,,120.930260,24.630529,,https://ezgo.ardswc.gov.tw/_api/content/images/notfound/miss.jpg
明昇生態休閒農場,,,,,,1150901,1150930,,,314,10004,北埔鄉,南埔村5鄰番婆坑6-2號,,,,121.042591,24.674855,,https://ezgo.ardswc.gov.tw/_api/content/images/notfound/miss.jpg
沐雲山莊休閒農場,,,,,,1150901,1150930,(09),,364,10005,大湖鄉,栗林村11鄰白石下11號,,,,120.823443,24.375689,,https://ezgo.ardswc.gov.tw/_api/content/images/notfound/miss.jpg
癩蛤蟆休閒農場,,,,,,1150901,1150930,(09),,367,10005,三義鄉,龍騰村外庄66號,,,https://photo.xuite.net/lhm566759,120.782908,24.359041,,https://ezgo.ardswc.gov.tw/_api/content/images/notfound/miss.jpg
富裕休閒農場,,,,,,1150901,1150930,(037)673732,,351,10005,頭份市,上興里13鄰水源路464號,,,,120.917758,24.665947,,https://ezgo.ardswc.gov.tw/_api/content/images/notfound/miss.jpg
雙連埤休閒農場,,,,,,1150901,1150930,(09),,264,10002,員山鄉,西湖村雙埤路30之3號,,,,121.640365,24.750222,,https://ezgo.ardswc.gov.tw/_api/content/images/notfound/miss.jpg
白鶴咖啡休閒農場,,,白鶴咖啡休閒農場位於屏東縣萬巒鄉，氣候溫暖濕潤，擁有得天獨厚的地理條件，非常適合咖啡樹的生長。農場以推廣在地咖啡為核心，藉由生產咖啡生豆，打造出咖啡的綠色樂園。。農場以友善環境的方式栽種阿拉比卡咖啡，在咖啡豆產季期間走進農場，映入眼簾的是成排的咖啡樹，樹葉翠綠、果實鮮紅，令人心曠神怡。從採豆到烘焙每一道工序都講究細節與品質，力求讓每一杯咖啡都呈現最好的風味。農場參觀採預約制，如欲參觀或購買咖啡，連絡電話08-7851325。,,,1150901,1150930,(08)7851325,,923,10013,萬巒鄉,新置村新光路9號,,,,120.610034,22.532402,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/4236/480x360_389755a6a4274fa6b0c9a4b7ad083727.jpg
大雁休閒農場,,,,,,1150901,1150930,(049)2895938,,555,10008,魚池鄉,大雁巷36-1號,,,,120.920935,23.923551,,https://ezgo.ardswc.gov.tw/_api/content/images/notfound/miss.jpg
雲霧嶺茶柚休閒農場,,,門市:永泰茶行。地址:苗栗縣頭份市東興路189號,,,1150901,1150930,(09),,352,10005,三灣鄉,永和村7鄰明坑13-9號,,,,120.924522,24.637164,,https://ezgo.ardswc.gov.tw/_api/content/images/notfound/miss.jpg
第一景休閒農場,,,,,,1150901,1150930,(09),,823,64000,田寮區,大崗山段 388、389、390、391 地號,,,,121.519872,25.031530,,https://ezgo.ardswc.gov.tw/_api/content/images/notfound/miss.jpg
豐甜休閒農場,,,,,,1150901,1150930,(04)25870532,,423,66000,東勢區,石圍牆段石圍牆小段1143-2地號,,,,120.774836,24.294689,,https://ezgo.ardswc.gov.tw/_api/content/images/notfound/miss.jpg
愛鄉休閒農場,,,,,,1150901,1150930,(049)2692649,,541,10008,中寮鄉,永平村愛鄉巷39-6號,,,,120.762616,23.876007,,https://ezgo.ardswc.gov.tw/_api/content/images/notfound/miss.jpg
嵙角休閒農場,,,,,,1150901,1150930,(09),,646,10009,古坑鄉,華山村華山65號,,,,120.593834,23.593349,,https://ezgo.ardswc.gov.tw/_api/content/images/notfound/miss.jpg
嵐湖休閒農場,,,,,,1150901,1150930,(09),,364,10005,大湖鄉,新開村7鄰雙坑27-1號,,,,120.841702,24.360272,,https://ezgo.ardswc.gov.tw/_api/content/images/notfound/miss.jpg
吉平休閒農場,,,,,,1150901,1150930,(037)862509,,358,10005,苑裡鎮,蕉埔里4鄰蕉埔45之1號,,,,120.735021,24.405753,,https://ezgo.ardswc.gov.tw/_api/content/images/notfound/miss.jpg
古月螢休閒農場,,,,,,1150901,1150930,(09),,352,10005,三灣鄉,永和村8鄰北坑12-1號,,,,120.924283,24.637463,,https://ezgo.ardswc.gov.tw/_api/content/images/notfound/miss.jpg
初色休閒農場,,,,,,1150901,1150930,(037)747096,,358,10005,苑裡鎮,蕉埔里5鄰蕉埔52-3號,,,,120.679955,24.421776,,https://ezgo.ardswc.gov.tw/_api/content/images/notfound/miss.jpg
清硯休閒農場,,,,,,1150901,1150930,(037)992281,,364,10005,大湖鄉,東興村下湖 50 號,,,,120.881453,24.377512,,https://ezgo.ardswc.gov.tw/_api/content/images/notfound/miss.jpg
大湖雅境休閒農場,,,,,,1150901,1150930,(037)823801,,351,10005,頭份市,中正路364號,,,,120.914709,24.687975,,https://ezgo.ardswc.gov.tw/_api/content/images/notfound/miss.jpg
自家烘焙咖啡休閒農場,,,,,,1150901,1150930,(09),,357,10005,通霄鎮,福興里9鄰福興101之11號,,,,120.743051,24.422300,,https://ezgo.ardswc.gov.tw/_api/content/images/notfound/miss.jpg
龍煙谷山一方休閒農場,,,,,,1150901,1150930,(03)9231059,,264,10002,員山鄉,中華村6鄰龍賢路9號,,,,121.668552,24.749871,,https://ezgo.ardswc.gov.tw/_api/content/images/notfound/miss.jpg
東昇休閒農場(停業中),,,東昇休閒農場(停業中),,,1150901,1150930,(04)25875627,,423,66000,東勢區,東蘭路101號,,,,120.824075,24.263758,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/1008/480x360_8165c201f75f40118bb533629ee48282(1).jpg
月亮休閒農場(停業中),,,本場農業生產以桂花為主。視野極佳可遠眺台中港,,,1150901,1150930,,,423,66000,東勢區,東勢段石角小段1981-25、1981-26地號等二筆,,,https://www.flowerhome.com.tw/,120.815766,24.304744,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/1049/480x360_zrty7c2xhi3fszxiw1syjpjuxd5bijae.jpg
金喜休閒農場,,,彰化有很多好玩好吃的地方，您可安排彰化二日遊，田尾公路花園，王功坐牛車採蛤，鹿港文化之旅，夜宿二林金喜休閒農場，自備露營帳蓬，場地不收費，如果不想玩景點，農埸可釣魚與烘焙體驗，可作鳳梨酥，蛋黄酥，蛋糕&hellip；等，歡迎光臨。 。資料提供：。彰化縣政府,,,1150901,1150930,(09),,526,10007,二林鎮,北平里新生路569巷48弄107號,,,,120.368958,23.914244,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/5932/480x360_91957f04ce8c4deda731604d4b8a5c3f.jpg
富盛休閒農場(甲鳥園),,,,,,1150901,1150930,(03)9288152,,262,10002,礁溪鄉,吳沙村開蘭路209號,,,,121.74985,24.791094,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/5915/480x360_df959bb2154544c3bea6bda99781ca0f.jpg
好春好然休閒農場,,,,,,1150901,1150930,(03)9227723,,264,10002,員山鄉,惠好村15鄰深洲二路22號,,,https://goodspring.strikingly.com/,121.737485,24.723289,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/1310/480x360_4c81a1bc9a7c418f9d9c9cca9bc00194.jpg
禾豐休閒農場,,,,,,1150901,1150930,(03)5475388,,306,10004,關西鎮,東平里15鄰63-9號,,,,121.162248,24.824249,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/1252/480x360_c03b71eb65b04b68a5332cc6459fe625.jpg
水里生態休閒農場,,,水里生態休閒農場。水里鄉共劃分4處休閒農業園區，玉興隆休閒農業園區、車埕休閒農業園區、頂崁、民和休閒農業園區、郡安休閒農業園區，而「水里生態休閒農場」就位於玉興隆休閒農業園區內。。玉興隆休閒農業園區包括：玉峰村、永興村、興隆村3個村落，屬於濁水溪南岸，水里生態教育農園負責人陳炳煜先生就占有6甲的農園，陳先生表示，早期種植的水果大多批發到果菜市場，後來全國種植水果面積大增，供過於求，為了改善產銷問題，陳先生邀集果農自發性精神，籌組「玉峰合作農場」，大幅降低生產成本，提高品質．於民國75年造就地...,,,1150901,1150930,(09),,553,10008,水里鄉,玉峰村永樂巷89-5號,,,,120.821643,23.803761,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/3195/480x360_水里生態休閒農場宣傳照_(2).jpg
悅音阿甲休閒農場,,,簡介。悅音阿甲休閒農場位於新竹縣橫山恆「大山背」因為大崎棟山的背面而得名。翠綠的山巒.澄淨的藍天，充沛水源.豐富生態環境.自然有機農法耕作.苦茶.茶葉.香草植物.水果提供遊客體驗與購買。遊程/體驗介紹。採果樂。香草植物蒸餾。做茶品茶。苦茶油加工產品。推薦伴手禮/農特產。蜜香紅茶。苦茶油。精油。純露。手工皂,,,1150901,1150930,(09),,312,10004,橫山鄉,豐鄉村9鄰大山背110-6號,,,,121.146326,24.689136,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/704/480x360_08(1).jpg
昇泰有機休閒農場,,,昇泰有機休閒農場。天然條件優良：農場位於台灣高雄市田寮區大崗山東面。。1.水質優良(山上礦區雜草叢生)。。2.石灰石地質(含微量元素、鈣...等)。。3.山坡地、無其他污染家庭工廠污水流入。。4.陽光足、向陽上午日照長、紅外線、花開茂盛、蜜源質量優。,,,1150901,1150930,(09),,823,64000,田寮區,新興村崗南路4-1號,,,,120.355491,22.850085,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/25197/480x360_agrispots-image-tep4lnpo5uehyydikimv_g.jpg
育樺園休閒農場,,,,,,1150901,1150930,(09),,264,10002,員山鄉,逸仙村大湖山一路11號,,,,121.694505,24.732644,,https://ezgo.ardswc.gov.tw/_api/content/images/notfound/miss.jpg
金生休閒農場,,,金生休閒農場。金生休閒農場鄰近永和山水庫，景致宜人，每年4至5月桐花綻放美不勝收。8月起至隔年2月更有各式柚、橘，水果香甜多汁，有口皆碑。。水果產季：8-10月柚子、12月柳丁、1-2月桶柑。,,,1150901,1150930,(037)669475,,351,10005,頭份市,自強里10鄰中正路191號,,,,120.910622,24.687546,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/312/480x360_20151119151010.jpg
苗栗縣三義鄉金達摩休閒農場,,,,,,1150901,1150930,(037)875766,,367,10005,三義鄉,西湖村1鄰西湖28-6號,,,,120.759816,24.392369,,https://ezgo.ardswc.gov.tw/_api/content/images/notfound/miss.jpg
太陽好事休閒農場,,,,,,1150901,1150930,(08)7800119,,920,10013,潮州鎮,潮州路760號,,,,120.555661,22.547169,,https://ezgo.ardswc.gov.tw/_api/content/images/notfound/miss.jpg
萬屋休閒農場,,,,,,1150901,1150930,(09),,912,10013,內埔鄉,大發路265號,,,,120.623132,22.688429,,https://ezgo.ardswc.gov.tw/_api/content/images/notfound/miss.jpg
成台休閒農場,,,,,,1150901,1150930,無,,248,65000,五股區,福德里19鄰工九路33之100號,,,,121.405806,25.076353,,https://ezgo.ardswc.gov.tw/_api/content/images/notfound/miss.jpg
原豐休閒農場,,,農事體驗、控窯,,,1150901,1150930,(09),,251,65000,淡水區,忠寮里演戲埔腳12號,,,,121.470916,25.196262,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/31984/480x360_agrispots-image-oup2ib1rt065a5hsnjpffw.jpg
虎頭山休閒農場,,,景色優美，可從虎頭山俯瞰桃園區夜景,,,1150901,1150930,(03)3946061,,330,68000,桃園區,成功路三段821巷66號,,,,121.327195,25.016734,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/1891/480x360_w7jacrnxbx4brq5t8van7edzgtgh5ydg.jpg
墾丁親子休閒農場(墾丁聽幸福親子民宿),,,墾丁親子休閒農場,,,1150901,1150930,(09),,946,10013,恆春鎮,槺林南路135巷128號,,,,120.730667,21.990040,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/1924/480x360_ffvkvi8k9gb6g0ikc5vxww28tk4ybk7t.jpg
松山鄉村健康生活休閒農場,,,本農場種植熱帶性果樹、瓜果、香草、鳳梨等植物，總面積 0.59 公頃。規劃之植栽及景觀僅供作休閒活動及農作體驗，提供每一位造訪者，能在舒適安靜的田園景緻中體驗完全的自然感。,,,1150901,1150930,(05)2722342,,621,10010,民雄鄉,松山村松山村松子腳48-15號,,,,120.474349,23.546536,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/30221/480x360_agrispots-image-9gjnsvskskexk5hqp5sraa.jpg
長頸鹿休閒農場,,,,,,1150901,1150930,,,516,10007,埔鹽鄉,西湖村新生路建471號,,,,120.449960,24.001080,,https://ezgo.ardswc.gov.tw/_api/content/images/notfound/miss.jpg
星月秘境休閒農場,,,,,,1150901,1150930,(049)2009188,,557,10008,竹山鎮,中山路888號,,,,120.705206,23.738118,,https://ezgo.ardswc.gov.tw/_api/content/images/notfound/miss.jpg
鹿境休閒農場,,,墾丁最大梅花鹿互動體驗園區 𐂂↟。৲ 近距離餵食可愛梅花鹿&呆萌的水豚君 。৲ 一起與旅伴⋄親子⋄家人享受療癒氛圍吧 。&there4； 現場可直接購票入場。&there4； 最後入園時間 ➯ 16:30。&there4； 7~8月暑期延長營業。&there4；最後入園時間 ➯ 17:00,,,1150901,1150930,(08)8881940,(08)8881941,946,10013,恆春鎮,恆公路1097-1號,,,,120.741677,22.012451,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/32663/480x360_agrispots-image-58svhsm9peahdjlr3x0wxg.jpg
四重溪綠境休閒農場(停業中),,,,,,1150901,1150930,(08)8898822,,944,10013,車城鄉,四重溪段,,,,120.747660,22.093258,,https://ezgo.ardswc.gov.tw/_api/content/images/notfound/miss.jpg
上高地休閒農場,,,,,,1150901,1150930,,,545,10008,埔里鎮,小埔社段,,,,120.952438,24.025375,,https://ezgo.ardswc.gov.tw/_api/content/images/notfound/miss.jpg
烘爐地休閒農場,,,,,,1150901,1150930,,,235,65000,中和區,興南路二段399巷140之1號南山觀音寺牌樓對面,,,,121.499313,24.973936,,https://ezgo.ardswc.gov.tw/_api/content/images/notfound/miss.jpg
電光米棧休閒農場,,,越過卑南溪，走入海岸山脈下的電光部落，時間彷彿慢了下來。由舊穀倉改建而成的「電光米棧」，不僅是部落農產的集散地，更是守護阿美族文化的堡壘。在這裡，你不僅能聽見響徹雲霄的雷公火竹炮聲，還能親手觸摸部落的土地與作物。透過一碗熱騰騰的部落風味餐與醇香的電光咖啡，遊客能與這片土地建立深度的連結，感受原民與自然共生的智慧。,,,1150901,1150930,,,956,10014,關山鎮,電光里13鄰南興26號,,,,121.183983,22.990193,,https://ezgo.ardswc.gov.tw/_api/content/images/notfound/miss.jpg
內灣休閒農場,,,,,,1150901,1150930,(09),,352,10005,三灣鄉,內灣村1鄰二灣7號,,,,120.960095,24.665972,,https://ezgo.ardswc.gov.tw/_api/content/images/notfound/miss.jpg
關山鎮農會休閒農場,,,路過台東關山千萬別錯過！這間由農會穀倉改造的「米國學校」真的超好逛。牆面上有繽紛可愛的米寶寶彩繪，隨便拍都是美照；還能體驗超療癒的「親手包裝米DIY」，把自己親手分類的關山米帶回家！逛累了直接來碗霸氣的「古早味大碗公飯」，補足體力後再掃貨限定版的「米乖乖」。無論是想帶小朋友放電，還是想來趟吃貨之旅，這裡絕對是縱谷線上的首選景點！,,,1150901,1150930,,,956,10014,關山鎮,豐泉里8鄰昌林25之3號,,,,121.16709,23.06235,,https://ezgo.ardswc.gov.tw/_api/content/images/notfound/miss.jpg
宜蘭濱海休閒農場,,,【龜山島第一排｜海嵐秘境休閒農場】。🌅 在冷氣房裡擁抱太平洋日出，收藏屬於你的濱海時光。🏞 獨家亮點。▸ 全台罕見「冷氣室內露營區」。	。	獨立衛浴 &times； 恆溫空調 &times； 防曬懶人露營。	。	。	夏日也能裹著棉被看星空，告別悶熱黏膩。	。▸ 車宿/露營VIP觀景台。	。	180&deg；無遮蔽龜山島日出劇場。	。	。	潮聲伴眠，晨光從火山頸後方迸發的魔幻時刻。	。📸 網友熱推。「在冷氣房裡拍日出剪影照根本作弊級享受！」。「第一次露營...,,,1150901,1150930,(09),,263,10002,壯圍鄉,新社村壯濱路五段296號,,,,0,0,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/33035/480x360_d3a09bc7dd734157a2a2ceac655dd76e.jpg
江陵日觀休閒農場,,,楊梅自古以來即為交通要塞， 因此農場腹地對外交通極為便利。結合觀光茶園與休閒農場的模式，善用自身多元的農業資源，展現農業生產、農民生活與農村生態。。農場主要經營自然生態、園藝、養生植物、森林景觀體驗等，農場保有大片完整的自然環境，蘊藏繁多的動植物物種。動物生態資源共有台灣畫眉、繡眼畫眉、綠繡眼、白頭翁、斑文鳥、白腰文鳥、台北樹蛙等50餘種；。另外植生相當豐富，極富自然教育價值。目前園內種有櫻花、樟樹、南洋衫、相思樹、茶樹、尤加利、龍柏等數百餘種植物及果樹。農場透過教學解說、實作體驗以及創意的...,,,1150901,1150930,(03)4750606,,326,68000,楊梅區,西高山頂15-2號,,,https://lihi1.cc/DP9ei,121.135136,24.929968,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/679/480x360_20200324-11.jpg
